freq,indic_bt,nace_r2,s_adj,unit,geo,time,value
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2021-12-01,115.2
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2022-01-01,95.6
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2022-02-01,93.2
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2022-03-01,105.3
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2022-04-01,99.9
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2022-05-01,100.0
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2022-06-01,96.8
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2022-07-01,99.3
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2022-08-01,94.6
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2022-09-01,95.7
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2022-10-01,98.2
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2022-11-01,104.6
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2022-12-01,107.9
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2023-01-01,89.3
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2023-02-01,86.9
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2023-03-01,97.4
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2023-04-01,95.8
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2023-05-01,98.4
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2023-06-01,96.2
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2023-07-01,97.7
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2023-08-01,92.4
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2023-09-01,92.0
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2023-10-01,98.2
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2023-11-01,102.9
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2023-12-01,107.0
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2024-01-01,88.3
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2024-02-01,85.3
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2024-03-01,98.7
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2024-04-01,96.5
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2024-05-01,97.0
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2024-06-01,94.4
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2024-07-01,97.6
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2024-08-01,94.4
